101aa.army.mil,144.104.32.65
101csbde.army.mil,144.105.134.65
1234.army.mil,6.0.0.16
132ndarmyband.army.mil,143.84.96.80
145armyband.army.mil,143.84.96.80
18abcjfo.cvs.ellc.learn.army.mil,214.48.248.83
18abcjfo.ellc.learn.army.mil,143.84.174.47
1c.army.mil,214.48.248.80
1stiocmdportal.mi.army.mil,160.147.83.121
1stiocmdportal07.mi.army.mil,160.147.83.98
1stiocmdtfs.mi.army.mil,160.147.83.98
2-28bct.army.mil,143.84.69.23
2017inauguralparadeapplication.mdw.army.mil,143.84.202.86
208-408.swf.usace.army.mil,140.194.204.8
229tharmyband.army.mil,143.84.96.80
282ndarmyband.army.mil,143.84.96.80
2dmsl.sddc.army.mil,144.100.70.8
2k.army.mil,143.84.163.6
3rdarmy.arcent.army.mil,155.213.225.70
4dwx-c1-ypg.yuma.army.mil,6.3.33.36
4dwx-display-ypg.yuma.army.mil,6.3.33.13
4dwx-fido-ypg.yuma.army.mil,6.3.33.31
4dwx-ingest-ypg.yuma.army.mil,6.3.33.30
4dwx-mrrd-ypg.yuma.army.mil,6.3.33.100
4dwx-nport-ypg.yuma.army.mil,6.3.33.34
4dwx-power-ypg.yuma.army.mil,6.3.33.35
4dwx-server-ypg.yuma.army.mil,6.3.33.12
4dwx-spare-ypg.yuma.army.mil,6.3.33.32
4dwx-vmet-ypg.yuma.army.mil,6.3.33.33
53list.army.mil,143.84.170.12
6mlmc.amedd.army.mil,143.84.107.245
82ndairbornedivisionband.army.mil,143.84.96.80
8tharmy.korea.army.mil,147.242.247.144
aa.amrdec.army.mil,199.209.144.34
aaashare.aaa.army.mil,134.11.55.49
aaasist.aaa.army.mil,134.11.55.41
aadhomepage.yuma.army.mil,6.1.11.82
aagvpn.adcf.army.mil,140.153.20.66
aaic.army.mil,141.116.10.232
aaic2.army.mil,143.84.99.152
aakctest.army.mil,143.84.99.62
aampt-test.army.mil,143.84.171.204
aampt.army.mil,143.84.99.216
aart.army.mil,143.84.163.66
aarts.army.mil,143.84.163.10
aartscolleges.army.mil,143.84.163.12
aartstranscript.army.mil,143.84.163.11
aasa.epic.army.mil,143.84.46.45
abc.army.mil,143.84.38.137
abdrqa.pica.army.mil,143.84.5.49
abi.army.mil,143.84.96.79
abidev.meade.army.mil,143.84.96.69
abop.army.mil,143.84.196.9
abop.monmouth.army.mil,143.84.196.9
acams.coop.sddc.army.mil,144.101.170.62
acams.sddc.army.mil,144.100.70.95
acamsapps.sddc.army.mil,144.100.70.11
acapcenters.army.mil,143.84.163.51
acart.cadie.army.mil,160.138.10.112
acas.army.mil,156.112.107.21
acbis1.army.mil,143.84.38.104
acc.amedd.army.mil,143.84.105.160
acc.army.mil,143.84.38.37
acc.cvs.ellc.learn.army.mil,143.84.174.72
acc.ellc.learn.army.mil,143.84.174.47
