a1.mdt.akamai.csd.disa.mil,214.48.32.24
a4mxtng-coop.csd.disa.mil,164.235.108.111
activesync-blue.esd.disa.mil,156.112.102.159
activesync.esd.disa.mil,156.112.99.143
adlhub.golearn-coop.csd.disa.mil,164.235.108.112
adls-qm-coop.csd.disa.mil,164.235.76.112
adm.csd.disa.mil,156.112.108.68
admin-17.c3pki.chamb.disa.mil,209.22.74.99
admin-21.c3pki.chamb.disa.mil,209.22.74.168
admin-22.csd.disa.mil,152.229.65.99
admin-27.csd.disa.mil,209.22.74.194
admin-28.csd.disa.mil,152.229.65.162
admite.csd.disa.mil,156.112.108.70
admtest.csd.disa.mil,156.112.108.69
ads.csd.disa.mil,164.235.108.131
ads.disa.mil,214.38.210.4
adslite.disa.mil,214.38.210.10
aetc-coop.csd.disa.mil,164.235.76.111
af.ataaps.csd.disa.mil,156.112.107.34
afcesa-coop.csd.disa.mil,164.235.76.111
afftc-coop.csd.disa.mil,164.235.76.112
afiadl-coop.csd.disa.mil,164.235.76.112
aflcms-coop.csd.disa.mil,164.235.108.111
afms-coop.csd.disa.mil,164.235.108.112
afmsfd-coop.csd.disa.mil,164.235.76.111
afpers-cac-crm--dev2.csd.disa.mil,164.235.45.245
afpers-cac-crm--tst2.csd.disa.mil,164.235.45.245
afpers-cac-crm.csd.disa.mil,140.16.1.33
afpers-crm--dev2.csd.disa.mil,164.235.45.245
afpers-crm--tst2.csd.disa.mil,164.235.45.245
afpers-crm.csd.disa.mil,140.16.1.33
afperspay-crm--dev.csd.disa.mil,164.235.78.231
afperspay-crm--pro.csd.disa.mil,164.235.43.156
afperspay-crm--test.csd.disa.mil,164.235.78.233
afperspay-crm.csd.disa.mil,164.235.43.155
afrisstf-tr.csd.disa.mil,156.112.75.151
afrisstf-ts.csd.disa.mil,214.49.6.149
afrisstf.csd.disa.mil,156.112.75.150
afsva-coop.csd.disa.mil,164.235.76.112
afwkc-coop.csd.disa.mil,164.235.108.111
agent-15.c3pki.chamb.disa.mil,209.22.74.91
agent-17.c3pki.chamb.disa.mil,209.22.74.96
agent-21.c3pki.chamb.disa.mil,209.22.74.167
agent-22.csd.disa.mil,152.229.65.100
agent-23.c3pki.chamb.disa.mil,209.22.74.172
agent-24.csd.disa.mil,152.229.65.105
agent-25.csd.disa.mil,209.22.74.177
agent-26.csd.disa.mil,152.229.65.31
agent-27.csd.disa.mil,209.22.74.193
agent-28.csd.disa.mil,152.229.65.161
agent-29.csd.disa.mil,209.22.74.198
agent-30.csd.disa.mil,152.229.65.166
agent-email-ca-41.csd.disa.mil,214.23.240.80
agent-id-sw-ca-37.csd.disa.mil,214.23.240.61
agent-id-sw-ca-38.csd.disa.mil,214.23.242.64
aims.disa.mil,152.229.78.57
alm.csd.disa.mil,156.112.67.156
almpt.csd.disa.mil,156.112.106.81
almtt.csd.disa.mil,156.112.67.156
alt.workspaces.disa.mil,156.112.108.48
amc-coop.csd.disa.mil,164.235.108.111
amclg.csd.disa.mil,156.112.107.32
amclg.okc.disa.mil,156.112.108.228
amclogistics.csd.disa.mil,156.112.108.21
amrep-prod.csd.disa.mil,156.112.106.16
amrep-test.csd.disa.mil,156.112.106.17
ams.akamai.csd.disa.mil,214.48.10.26
amsrr.csd.disa.mil,156.112.91.179
amsrrrpt.csd.disa.mil,156.112.91.180
amsrrstg.csd.disa.mil,156.112.91.181
amsrrstgrpt.csd.disa.mil,156.112.91.182
andreanof.disa.mil,209.22.82.12
angonline-coop.csd.disa.mil,164.235.108.112
anguilla.disa.mil,209.22.116.45
apgar.dai.csd.disa.mil,156.112.83.188
aplits.disa.mil,156.112.107.92
app.disaconus.disa.mil,209.22.91.130
app1.west.sldcada.disa.mil,164.235.107.108
app2.east.sldcada.disa.mil,156.112.99.228
app2.west.sldcada.disa.mil,156.112.115.69
applicationsnavsupdev.csd.disa.mil,156.112.98.80
applicationsnavsuptest.csd.disa.mil,156.112.98.83
aqa.stax.disa.mil,156.112.108.186
aqs.stax.disa.mil,156.112.108.186
ara-2.c3pki.den.disa.mil,152.229.65.130
